manager,fund_code,fund_name,report_period,report_date,rank,stock_code,stock_name,shares,fair_value_cny,nav_pct,source_file,notes
刘旭,000628,大成高鑫股票A,2026Q1,2026-03-31,1,000333,美的集团,20912029,1596633414.15,10.54%,2026一季度报告.pdf,前十大重仓股
刘旭,000628,大成高鑫股票A,2026Q1,2026-03-31,2,002595,豪迈科技,13587369,1075847877.42,7.10%,2026一季度报告.pdf,前十大重仓股
刘旭,000628,大成高鑫股票A,2026Q1,2026-03-31,3,00941,中国移动,15135500,1057751871.73,6.98%,2026一季度报告.pdf,前十大重仓股
刘旭,000628,大成高鑫股票A,2026Q1,2026-03-31,4,600660,福耀玻璃,17432777,993668289.00,6.56%,2026一季度报告.pdf,前十大重仓股
刘旭,000628,大成高鑫股票A,2026Q1,2026-03-31,5,600690,海尔智家,45351291,969610601.58,6.40%,2026一季度报告.pdf,前十大重仓股
刘旭,000628,大成高鑫股票A,2026Q1,2026-03-31,6,300750,宁德时代,1514662,608439725.40,4.01%,2026一季度报告.pdf,前十大重仓股
刘旭,000628,大成高鑫股票A,2026Q1,2026-03-31,7,600885,宏发股份,20294041,563362578.16,3.72%,2026一季度报告.pdf,前十大重仓股
刘旭,000628,大成高鑫股票A,2026Q1,2026-03-31,8,600352,浙江龙盛,42798840,556812908.40,3.67%,2026一季度报告.pdf,前十大重仓股
刘旭,000628,大成高鑫股票A,2026Q1,2026-03-31,9,600741,华域汽车,28590447,549222486.87,3.62%,2026一季度报告.pdf,前十大重仓股
刘旭,000628,大成高鑫股票A,2026Q1,2026-03-31,10,00883,中国海洋石油,21541995,532574125.59,3.51%,2026一季度报告.pdf,前十大重仓股
刘旭,008271,大成优势企业混合A,2026Q1,2026-03-31,1,000333,美的集团,4711351,359711648.85,10.32%,2026.1(1).pdf,前十大重仓股
刘旭,008271,大成优势企业混合A,2026Q1,2026-03-31,2,00941,中国移动,3529000,246625903.03,7.08%,2026.1(1).pdf,前十大重仓股
刘旭,008271,大成优势企业混合A,2026Q1,2026-03-31,3,002595,豪迈科技,3039903,240699519.54,6.91%,2026.1(1).pdf,前十大重仓股
刘旭,008271,大成优势企业混合A,2026Q1,2026-03-31,4,600690,海尔智家,10608452,226808703.76,6.51%,2026.1(1).pdf,前十大重仓股
刘旭,008271,大成优势企业混合A,2026Q1,2026-03-31,5,600660,福耀玻璃,3523953,200865321.00,5.76%,2026.1(1).pdf,前十大重仓股
刘旭,008271,大成优势企业混合A,2026Q1,2026-03-31,6,00883,中国海洋石油,6327000,156419890.20,4.49%,2026.1(1).pdf,前十大重仓股
刘旭,008271,大成优势企业混合A,2026Q1,2026-03-31,7,300750,宁德时代,349927,140565675.90,4.03%,2026.1(1).pdf,前十大重仓股
刘旭,008271,大成优势企业混合A,2026Q1,2026-03-31,8,600352,浙江龙盛,9974436,129767412.36,3.72%,2026.1(1).pdf,前十大重仓股
刘旭,008271,大成优势企业混合A,2026Q1,2026-03-31,9,600741,华域汽车,6701754,128740694.34,3.69%,2026.1(1).pdf,前十大重仓股
刘旭,008271,大成优势企业混合A,2026Q1,2026-03-31,10,600885,宏发股份,3702802,102789783.52,2.95%,2026.1(1).pdf,前十大重仓股
刘旭,010929,大成核心价值甄选混合A,2026Q1,2026-03-31,1,000333,美的集团,752312,57439021.20,10.90%,2026.1.pdf,前十大重仓股
刘旭,010929,大成核心价值甄选混合A,2026Q1,2026-03-31,2,002595,豪迈科技,633689,50175495.02,9.53%,2026.1.pdf,前十大重仓股
刘旭,010929,大成核心价值甄选混合A,2026Q1,2026-03-31,3,00941,中国移动,591500,41337268.81,7.85%,2026.1.pdf,前十大重仓股
刘旭,010929,大成核心价值甄选混合A,2026Q1,2026-03-31,4,600690,海尔智家,1802600,38539588.00,7.32%,2026.1.pdf,前十大重仓股
刘旭,010929,大成核心价值甄选混合A,2026Q1,2026-03-31,5,00883,中国海洋石油,1412000,34908311.20,6.63%,2026.1.pdf,前十大重仓股
刘旭,010929,大成核心价值甄选混合A,2026Q1,2026-03-31,6,600660,福耀玻璃,551800,31452600.00,5.97%,2026.1.pdf,前十大重仓股
刘旭,010929,大成核心价值甄选混合A,2026Q1,2026-03-31,7,600352,浙江龙盛,1933200,25150932.00,4.77%,2026.1.pdf,前十大重仓股
刘旭,010929,大成核心价值甄选混合A,2026Q1,2026-03-31,8,600741,华域汽车,1222333,23481016.93,4.46%,2026.1.pdf,前十大重仓股
刘旭,010929,大成核心价值甄选混合A,2026Q1,2026-03-31,9,600885,宏发股份,720214,19993140.64,3.80%,2026.1.pdf,前十大重仓股
刘旭,010929,大成核心价值甄选混合A,2026Q1,2026-03-31,10,002223,鱼跃医疗,572800,19417920.00,3.69%,2026.1.pdf,前十大重仓股
