manager,fund_code,fund_name,share_class,latest_nav,nav_date,day_return,one_month,three_month,six_month,ytd_return,since_inception,collected_date,notes
刘旭,008272,大成优势企业混合C,C,2.2005,2026-07-10,-0.25%,-1.93%,-5.29%,-7.07%,-6.17%,120.05%,2026-07-11,与008271为同一产品不同份额
刘旭,008271,大成优势企业混合A,A,2.3194,2026-07-10,-0.25%,-1.86%,-5.10%,-6.69%,-5.77%,131.94%,2026-07-11,代表基金候选
刘旭,013853,大成匠心卓越三年持有混合A,A,1.3808,2026-07-10,-0.32%,-1.78%,-3.91%,-5.90%,-5.19%,38.08%,2026-07-11,补充样本
刘旭,010929,大成核心价值甄选混合A,A,1.2962,2026-07-10,-0.92%,0.80%,-0.28%,-2.44%,-1.50%,29.62%,2026-07-11,补充代表基金候选
刘旭,011066,大成高鑫股票C,C,4.7539,2026-07-10,-0.11%,-2.18%,-6.00%,-7.97%,-7.06%,54.10%,2026-07-11,与000628为同一产品不同份额
刘旭,000628,大成高鑫股票A,A,4.8570,2026-07-10,-0.11%,-2.15%,-5.90%,-7.79%,-6.86%,385.70%,2026-07-11,核心代表基金
刘旭,026919,大成启元价值混合C,C,0.9933,2026-07-10,0.04%,-0.57%,--,--,-0.67%,-0.67%,2026-07-11,新基金数据较短
刘旭,014859,大成慧心优选一年持有混合A,A,1.1750,2026-07-10,0.69%,-2.44%,-10.23%,-11.93%,-10.98%,17.50%,2026-07-11,补充样本
刘旭,010930,大成核心价值甄选混合C,C,1.2560,2026-07-10,-0.92%,0.75%,-0.43%,-2.73%,-1.81%,25.60%,2026-07-11,与010929为同一产品不同份额
刘旭,013854,大成匠心卓越三年持有混合C,C,1.3585,2026-07-10,-0.32%,-1.81%,-4.01%,-6.08%,-5.38%,35.85%,2026-07-11,与013853为同一产品不同份额
刘旭,019363,大成至信回报三年定期开放混合,,1.3192,2026-07-10,-0.23%,-2.09%,-3.66%,-4.12%,-3.38%,31.92%,2026-07-11,补充样本
刘旭,024838,大成匠心卓越三年持有混合D,D,1.3809,2026-07-10,-0.32%,-1.78%,-3.91%,-5.90%,-5.19%,-0.33%,2026-07-11,与013853为同一产品不同份额
刘旭,026918,大成启元价值混合A,A,0.9941,2026-07-10,0.05%,-0.54%,--,--,-0.59%,-0.59%,2026-07-11,新基金数据较短
刘旭,014860,大成慧心优选一年持有混合C,C,1.1588,2026-07-10,0.69%,-2.47%,-10.32%,-12.11%,-11.18%,15.88%,2026-07-11,与014859为同一产品不同份额
